player_name,n_disparos,goles_reales,xg_acumulado,xg_por_disparo,player_id,market_value_eur,market_value_M,eficiencia
Adil Rami,20,0,1.905893765,0.09529468825000001,51118,250000,0.25,0.0
Aleksandar Mitrović,26,3,3.763395394,0.14474597669230768,51152,10000000,10.0,0.79715248756028
Antoine Griezmann,255,42,36.4740540203,0.1430355059619608,125781,8000000,8.0,1.1515034763238678
Arda Turan,22,4,3.567311633,0.1621505287727273,21369,100000,0.1,1.121292561882552
Arjen Robben,31,2,2.3346426726,0.0753110539548387,4360,200000,0.2,0.8566621451207685
Aymeric Laporte,22,3,3.1107861946,0.1413993724818182,176553,8000000,8.0,0.964386432345523
Clément Lenglet,25,4,3.211109823,0.12844439292,182904,4000000,4.0,1.2456752401769224
Cédric Bakambu,52,13,9.716121025,0.18684848125,127048,1200000,1.2,1.3379825103609184
Daniel Wass,53,2,4.4828595015,0.08458225474528303,63463,400000,0.4,0.44614380605298565
Denis Cheryshev,37,8,3.133243242,0.08468224978378378,98322,1000000,1.0,2.553264902246616
Fayçal Fajr,53,5,3.1248843614,0.058960082290566034,174344,1300000,1.3,1.6000592091541965
Frenkie de Jong,20,4,5.553983459,0.27769917295,326330,35000000,35.0,0.7202038013847819
Giuseppe Rossi,41,5,4.5810527145,0.11173299303658538,19104,100000,0.1,1.0914521861261153
Gonzalo Escalante,34,3,3.301888771,0.09711437561764705,266795,1500000,1.5,0.9085708841401794
Grzegorz Krychowiak,26,1,2.4841134240000002,0.09554282400000001,45184,5000000,5.0,0.4025581079908048
Harry Kane,22,4,2.492077734,0.11327626063636363,132098,60000000,60.0,1.6050863684655834
Ivan Perišić,40,4,2.8693896598,0.071734741495,42460,1200000,1.2,1.3940246791991315
John Guidetti,34,7,5.575811093,0.1639944439117647,98596,600000,0.6,1.255422732808857
Jérémy Mathieu,25,3,2.209830459,0.08839321836,5404,1200000,1.2,1.3575702098692088
Karim Benzema,157,31,25.2024367806,0.1605250750356688,18922,5000000,5.0,1.2300397882105898
Luciano Vietto,33,2,3.864291684,0.117099748,214316,1200000,1.2,0.5175592743893915
Ludovic Giuly,37,6,6.513557889,0.1760421051081081,5299,400000,0.4,0.9211555500462675
Luka Modrić,64,4,3.325291684,0.0519576825625,27992,3500000,3.5,1.2029019948073825
Mark van Bommel,21,0,0.7885467744,0.037549846399999996,3515,800000,0.8,0.0
Michael Krohn-Dehli,27,1,3.2238686544,0.11940254275555555,18006,300000,0.3,0.3101863342463348
Mubarak Wakaso,22,1,0.6876098727,0.03125499421363636,45639,400000,0.4,1.4543130337459451
Nabil El Zhar,39,4,2.7535378665,0.07060353503846153,37917,500000,0.5,1.4526765906017367
Nabil Ghilas,22,0,1.706602535,0.0775728425,193515,325000,0.325,0.0
Nordin Amrabat,36,0,2.3682532564,0.06578481267777778,55619,125000,0.125,0.0
Olivier Giroud,32,4,4.5436913180000005,0.14199035368750001,82442,900000,0.9,0.8803414933038811
Ousmane Dembélé,112,16,10.067849961,0.08989151750892857,288230,100000000,100.0,1.5892171677150007
Raphaël Varane,28,1,2.553540314,0.09119786835714286,164770,20000000,20.0,0.3916131633079829
Robert Lewandowski,22,1,2.930866572,0.1332212078181818,38253,7000000,7.0,0.34119601675268624
Shkodran Mustafi,24,2,1.986936125,0.08278900520833334,88590,800000,0.8,1.006574884232879
Sofiane Feghouli,33,1,3.170930072,0.09608879006060606,57162,400000,0.4,0.31536488578862615
Takashi Inui,60,7,4.084417841,0.06807363068333333,98249,125000,0.125,1.7138305316691522
Toni Kroos,58,3,2.8010007045,0.04829311559482758,31909,10000000,10.0,1.0710457855938038
Youssef En-Nesyri,21,4,1.7643510387,0.08401671612857144,433049,17000000,17.0,2.2671225352905164
Zlatan Ibrahimović,82,13,10.5310655568,0.1284276287414634,3455,2000000,2.0,1.2344429848891965
